Номер;Тип;Модель;Типоразмер;Диаметр ММ;Производительность м3/ч;Давление(па);Мощность(ВТ);Уровень шума;Цена в рублях
24457;Ц;Ц 45-280-100-1;Ц 45-280-100;900;2148 - 29892;403 - 1906;550;81;165 600
24458;УВО;УВО 30-160-040-2;УВО 30-160-040;400;3329 - 15340;369 - 986;1500;61;59 400
24459;ВО;ВО 30-160-040-5;ВО 30-160-040;400;2558 - 25632;517 - 1387;11000;90;259 700
24460;ВКОП;ВКОП 50-315-125-2;ВКОП 50-315-125;1000;2126 - 19611;525 - 804;750;75;114 800
24461;ВКОП;ВКОП 56-355-140-3;ВКОП 56-355-140;1120;3783 - 20696;254 - 2881;2200;73;65 800
24462;ВО;ВО 50-315-125-5;ВО 50-315-125;1000;714 - 17955;393 - 2592;11000;87;289 000
24463;ВР;ВР 30-160-050-4;ВР 30-160-050;500;292 - 10359;555 - 3410;5500;93;317 900
24464;ВО;ВО 30-160-050-4;ВО 30-160-050;500;762 - 25371;601 - 3460;7500;67;275 000
24465;Ц;Ц 35-200-063-1;Ц 35-200-063;630;1975 - 3777;644 - 1896;11000;89;79 100
24466;УВО;УВО 56-355-140-5;УВО 56-355-140;1120;2317 - 3234;439 - 3247;5500;101;226 000
24467;ВКОП;ВКОП 56-355-140-2;ВКОП 56-355-140;1120;545 - 20227;164 - 3364;1100;70;258 000
24468;ВЦ;ВЦ 30-160-050-1;ВЦ 30-160-050;500;2029 - 10815;440 - 2735;11000;84;152 100
24469;УВО;УВО 40-250-080-3;УВО 40-250-080;800;1792 - 29746;118 - 417;11000;89;332 500
24470;Ц;Ц 56-355-140-1;Ц 56-355-140;1120;903 - 16196;507 - 3020;1100;99;109 100
24471;ВЦ;ВЦ 40-250-080-3;ВЦ 40-250-080;800;3687 - 14670;564 - 3114;4000;92;113 400
24472;ВО;ВО 45-280-100-1;ВО 45-280-100;900;1876 - 25884;188 - 2214;250;78;97 800
24473;ВР;ВР 50-315-125-1;ВР 50-315-125;1000;2337 - 27786;411 - 2165;550;75;169 100
24474;ВО;ВО 45-280-100-2;ВО 45-280-100;900;650 - 14302;550 - 1335;5500;63;63 200
24475;ВО;ВО 40-250-080-2;ВО 40-250-080;800;3972 - 31345;354 - 3032;3000;63;178 200
24476;ВКОП;ВКОП 50-315-125-5;ВКОП 50-315-125;1000;1665 - 4993;240 - 504;3000;79;216 500
24477;ВР;ВР 30-160-050-5;ВР 30-160-050;500;341 - 21642;48 - 909;1500;99;133 600
24478;Ц;Ц 30-160-040-3;Ц 30-160-040;400;3921 - 20089;74 - 2391;750;97;113 900
24479;Ц;Ц 30-160-050-4;Ц 30-160-050;500;1191 - 27823;42 - 934;250;91;309 600
24480;ВО;ВО 50-315-125-4;ВО 50-315-125;1000;471 - 22008;459 - 1574;550;106;189 400
24481;Ц;Ц 40-250-080-1;Ц 40-250-080;800;800 - 21968;401 - 3097;15000;91;325 700
24482;Ц;Ц 50-315-125-1;Ц 50-315-125;1000;3659 - 26923;209 - 1032;750;110;106 500
24483;Ц;Ц 40-250-080-1;Ц 40-250-080;800;3583 - 10609;92 - 2351;11000;99;141 900
24484;Ц;Ц 56-355-140-3;Ц 56-355-140;1120;1849 - 10231;121 - 528;1100;61;134 100
24485;Ц;Ц 30-160-040-3;Ц 30-160-040;400;1059 - 3193;561 - 671;15000;78;73 900
24486;ВО;ВО 40-250-080-4;ВО 40-250-080;800;495 - 16289;540 - 2825;370;70;313 800
24487;УВО;УВО 30-160-050-2;УВО 30-160-050;500;740 - 8422;322 - 1900;1100;68;121 500
24488;Ц;Ц 30-160-050-1;Ц 30-160-050;500;3262 - 19407;551 - 2718;370;84;138 100
24489;ВКОП;ВКОП 50-315-125-3;ВКОП 50-315-125;1000;855 - 16923;465 - 2002;7500;87;222 500
24490;ВЦ;ВЦ 56-355-140-1;ВЦ 56-355-140;1120;2156 - 16553;194 - 520;11000;76;108 200
24491;ВЦ;ВЦ 30-160-050-3;ВЦ 30-160-050;500;425 - 23153;182 - 494;1100;71;88 200
24492;ВКОП;ВКОП 40-250-080-1;ВКОП 40-250-080;800;699 - 9834;110 - 351;11000;84;193 400
24493;ВР;ВР 35-200-063-5;ВР 35-200-063;630;962 - 1676;65 - 2912;5500;76;78 700
24494;Ц;Ц 30-160-050-3;Ц 30-160-050;500;1238 - 13512;167 - 1754;370;98;206 000
24495;ВЦ;ВЦ 35-200-063-2;ВЦ 35-200-063;630;3406 - 19134;42 - 2650;550;73;313 200
24496;Ц;Ц 40-250-080-5;Ц 40-250-080;800;3517 - 20998;280 - 1079;7500;74;133 800
24497;Ц;Ц 56-355-140-2;Ц 56-355-140;1120;3115 - 16084;491 - 2341;250;98;334 000
24498;УВО;УВО 56-355-140-3;УВО 56-355-140;1120;1034 - 11303;190 - 1690;11000;109;79 700
24499;ВЦ;ВЦ 30-160-040-1;ВЦ 30-160-040;400;987 - 28033;364 - 2464;4000;65;127 300
24500;ВКОП;ВКОП 35-200-063-3;ВКОП 35-200-063;630;3975 - 29378;398 - 999;1100;95;175 900
24501;ВКОП;ВКОП 56-355-140-5;ВКОП 56-355-140;1120;2135 - 6672;248 - 351;15000;66;256 900
24502;ВКОП;ВКОП 56-355-140-5;ВКОП 56-355-140;1120;2341 - 3716;356 - 3495;370;66;140 000
24503;ВКОП;ВКОП 50-315-125-2;ВКОП 50-315-125;1000;1777 - 6294;91 - 2558;7500;104;47 300
24504;ВЦ;ВЦ 50-315-125-1;ВЦ 50-315-125;1000;398 - 24074;180 - 3201;5500;109;249 400
24505;ВЦ;ВЦ 35-200-063-4;ВЦ 35-200-063;630;3723 - 27306;648 - 2621;3000;92;58 200
24506;ВО;ВО 35-200-063-5;ВО 35-200-063;630;3405 - 10274;147 - 1981;15000;74;157 700
24507;Ц;Ц 56-355-140-3;Ц 56-355-140;1120;2427 - 10640;415 - 1952;3000;79;60 400
24508;УВО;УВО 35-200-063-4;УВО 35-200-063;630;1427 - 17904;125 - 2186;3000;66;212 600
24509;ВР;ВР 40-250-080-3;ВР 40-250-080;800;2336 - 21685;425 - 1510;750;69;124 100
24510;Ц;Ц 35-200-063-4;Ц 35-200-063;630;2605 - 15766;278 - 765;15000;94;97 700
24511;ВР;ВР 45-280-100-5;ВР 45-280-100;900;2710 - 16987;41 - 2493;5500;72;128 600
24512;ВЦ;ВЦ 30-160-050-3;ВЦ 30-160-050;500;1003 - 3207;193 - 2007;550;61;193 200
24513;УВО;УВО 30-160-050-3;УВО 30-160-050;500;281 - 4432;395 - 1040;370;88;153 700
24514;УВО;УВО 30-160-040-1;УВО 30-160-040;400;476 - 22560;574 - 3141;3000;75;152 800
24515;Ц;Ц 50-315-125-2;Ц 50-315-125;1000;1366 - 27724;528 - 981;1500;102;130 100
24516;ВР;ВР 45-280-100-5;ВР 45-280-100;900;2721 - 23119;448 - 3640;3000;74;76 600
24517;ВО;ВО 30-160-040-4;ВО 30-160-040;400;2530 - 17630;220 - 2400;370;94;312 400
24518;ВР;ВР 50-315-125-5;ВР 50-315-125;1000;1225 - 2945;508 - 1548;15000;78;164 900
24519;ВКОП;ВКОП 45-280-100-1;ВКОП 45-280-100;900;3931 - 30209;602 - 2104;7500;88;156 200
24520;ВР;ВР 40-250-080-5;ВР 40-250-080;800;3300 - 20697;485 - 3432;3000;81;333 300
24521;УВО;УВО 40-250-080-1;УВО 40-250-080;800;581 - 11885;333 - 1005;7500;68;303 500
24522;ВКОП;ВКОП 45-280-100-3;ВКОП 45-280-100;900;1732 - 17817;506 - 3224;15000;70;63 200
24523;ВКОП;ВКОП 50-315-125-3;ВКОП 50-315-125;1000;3045 - 11223;464 - 2762;15000;93;72 300
24524;УВО;УВО 45-280-100-4;УВО 45-280-100;900;1319 - 9050;360 - 3336;15000;75;330 600
24525;ВО;ВО 30-160-040-1;ВО 30-160-040;400;2409 - 18275;540 - 2281;3000;104;86 400
24526;ВО;ВО 56-355-140-5;ВО 56-355-140;1120;1301 - 23167;298 - 3336;370;64;239 100
24527;ВО;ВО 50-315-125-1;ВО 50-315-125;1000;2721 - 6749;193 - 3120;3000;106;74 500
24528;ВЦ;ВЦ 30-160-050-4;ВЦ 30-160-050;500;1838 - 8191;92 - 1819;7500;109;124 300
24529;ВЦ;ВЦ 30-160-050-3;ВЦ 30-160-050;500;3843 - 13469;505 - 603;5500;97;269 800
24530;ВЦ;ВЦ 35-200-063-3;ВЦ 35-200-063;630;255 - 15615;106 - 1924;550;74;126 300
24531;ВР;ВР 30-160-050-4;ВР 30-160-050;500;2969 - 14848;413 - 1825;11000;100;277 800
24532;ВР;ВР 40-250-080-4;ВР 40-250-080;800;3846 - 26123;566 - 1118;370;70;49 000
24533;ВКОП;ВКОП 56-355-140-3;ВКОП 56-355-140;1120;1917 - 12923;364 - 1830;750;63;177 100
24534;ВКОП;ВКОП 40-250-080-3;ВКОП 40-250-080;800;1015 - 22065;649 - 1534;4000;89;127 700
24535;Ц;Ц 40-250-080-1;Ц 40-250-080;800;2147 - 24059;410 - 2942;11000;73;164 100
24536;ВР;ВР 45-280-100-2;ВР 45-280-100;900;1371 - 7350;239 - 2576;1100;76;335 500
24537;ВО;ВО 30-160-050-2;ВО 30-160-050;500;2431 - 22254;52 - 499;11000;90;77 700
24538;ВКОП;ВКОП 40-250-080-2;ВКОП 40-250-080;800;2193 - 19899;117 - 2990;15000;67;331 000
24539;ВЦ;ВЦ 45-280-100-5;ВЦ 45-280-100;900;3516 - 11970;596 - 1510;5500;103;225 100
24540;ВР;ВР 30-160-050-3;ВР 30-160-050;500;2770 - 14188;551 - 3448;11000;64;115 000
24541;УВО;УВО 35-200-063-1;УВО 35-200-063;630;3513 - 11160;559 - 1685;15000;63;237 900
24542;УВО;УВО 45-280-100-4;УВО 45-280-100;900;3407 - 4120;297 - 2859;11000;65;149 000
24543;ВКОП;ВКОП 45-280-100-4;ВКОП 45-280-100;900;1097 - 5851;278 - 3358;750;80;98 400
24544;УВО;УВО 35-200-063-1;УВО 35-200-063;630;2720 - 16795;183 - 1007;750;79;188 300
24545;ВКОП;ВКОП 50-315-125-3;ВКОП 50-315-125;1000;3718 - 28735;620 - 3784;11000;107;173 000
24546;УВО;УВО 50-315-125-5;УВО 50-315-125;1000;2428 - 10612;288 - 1143;750;88;318 200
24547;ВЦ;ВЦ 30-160-050-2;ВЦ 30-160-050;500;1537 - 26461;576 - 867;1500;95;129 700
24548;УВО;УВО 50-315-125-5;УВО 50-315-125;1000;2374 - 22609;387 - 2765;11000;92;80 500
24549;ВР;ВР 45-280-100-5;ВР 45-280-100;900;249 - 11348;382 - 705;1500;81;260 200
24550;ВЦ;ВЦ 35-200-063-4;ВЦ 35-200-063;630;1432 - 6301;227 - 2171;750;63;64 500
24551;ВЦ;ВЦ 30-160-050-4;ВЦ 30-160-050;500;1400 - 17078;79 - 1267;15000;93;296 000
24552;ВКОП;ВКОП 35-200-063-2;ВКОП 35-200-063;630;2372 - 23389;85 - 1245;7500;94;102 000
24553;УВО;УВО 30-160-050-5;УВО 30-160-050;500;1394 - 22519;316 - 2180;2200;73;147 500
24554;Ц;Ц 50-315-125-4;Ц 50-315-125;1000;2201 - 28001;626 - 1657;4000;61;178 200
24555;ВЦ;ВЦ 56-355-140-1;ВЦ 56-355-140;1120;664 - 9150;49 - 914;3000;87;50 700
24556;ВР;ВР 45-280-100-1;ВР 45-280-100;900;2601 - 6315;544 - 3030;5500;89;56 100
24557;ВР;ВР 40-250-080-5;ВР 40-250-080;800;3866 - 26465;498 - 1434;370;61;309 300
24558;ВКОП;ВКОП 50-315-125-2;ВКОП 50-315-125;1000;2198 - 27062;111 - 1095;2200;70;140 400
24559;ВР;ВР 35-200-063-4;ВР 35-200-063;630;2331 - 12081;113 - 2472;250;75;122 900
24560;ВО;ВО 30-160-050-1;ВО 30-160-050;500;678 - 8401;559 - 2690;2200;99;80 600
24561;УВО;УВО 40-250-080-4;УВО 40-250-080;800;3743 - 5233;523 - 632;5500;110;206 700
24562;ВКОП;ВКОП 50-315-125-5;ВКОП 50-315-125;1000;1518 - 18268;203 - 3400;1100;65;260 400
24563;УВО;УВО 35-200-063-5;УВО 35-200-063;630;2907 - 24276;302 - 1786;11000;110;154 300
24564;Ц;Ц 40-250-080-5;Ц 40-250-080;800;2283 - 24444;115 - 2728;250;82;149 600
24565;Ц;Ц 56-355-140-3;Ц 56-355-140;1120;238 - 12654;267 - 1520;3000;78;140 700
24566;Ц;Ц 56-355-140-2;Ц 56-355-140;1120;370 - 23387;592 - 912;15000;63;292 000
24567;Ц;Ц 45-280-100-5;Ц 45-280-100;900;3893 - 30274;277 - 1434;1500;85;232 500
24568;ВКОП;ВКОП 56-355-140-2;ВКОП 56-355-140;1120;2615 - 24948;67 - 2039;7500;70;248 500
24569;ВЦ;ВЦ 56-355-140-3;ВЦ 56-355-140;1120;3694 - 25953;370 - 1440;11000;74;241 800
24570;ВО;ВО 35-200-063-5;ВО 35-200-063;630;2630 - 21645;120 - 1975;4000;61;140 500
24571;ВЦ;ВЦ 30-160-040-3;ВЦ 30-160-040;400;961 - 6017;503 - 1514;3000;104;129 500
24572;Ц;Ц 30-160-050-4;Ц 30-160-050;500;1017 - 26484;580 - 2359;370;89;102 700
24573;ВЦ;ВЦ 45-280-100-1;ВЦ 45-280-100;900;989 - 26286;601 - 1427;1500;93;99 300
24574;ВЦ;ВЦ 45-280-100-1;ВЦ 45-280-100;900;319 - 26318;407 - 1085;1100;101;213 100
24575;ВКОП;ВКОП 30-160-050-3;ВКОП 30-160-050;500;2058 - 23638;588 - 1504;1500;79;138 200
24576;ВКОП;ВКОП 56-355-140-1;ВКОП 56-355-140;1120;3085 - 10141;386 - 2375;5500;110;252 000
24577;ВКОП;ВКОП 35-200-063-3;ВКОП 35-200-063;630;1415 - 2672;101 - 1497;3000;97;300 600
24578;УВО;УВО 45-280-100-3;УВО 45-280-100;900;1103 - 4315;389 - 1141;550;91;89 200
24579;ВКОП;ВКОП 30-160-040-4;ВКОП 30-160-040;400;1449 - 16198;399 - 1845;250;85;238 700
24580;ВО;ВО 30-160-040-2;ВО 30-160-040;400;2879 - 3600;66 - 1850;4000;107;257 400
24581;ВР;ВР 50-315-125-2;ВР 50-315-125;1000;972 - 6599;91 - 1383;550;61;196 500
24582;ВО;ВО 30-160-050-3;ВО 30-160-050;500;2104 - 29635;49 - 1170;550;93;200 200
24583;УВО;УВО 35-200-063-1;УВО 35-200-063;630;508 - 7599;453 - 2479;550;78;221 200
24584;ВКОП;ВКОП 45-280-100-5;ВКОП 45-280-100;900;1170 - 6283;94 - 234;4000;80;333 400
24585;Ц;Ц 56-355-140-4;Ц 56-355-140;1120;1523 - 6768;106 - 2488;750;70;245 800
24586;УВО;УВО 35-200-063-3;УВО 35-200-063;630;2908 - 15696;353 - 1302;370;61;111 000
24587;УВО;УВО 30-160-040-2;УВО 30-160-040;400;310 - 19293;541 - 2375;7500;81;317 400
24588;ВО;ВО 50-315-125-3;ВО 50-315-125;1000;2219 - 6456;521 - 2705;15000;87;116 300
24589;ВКОП;ВКОП 45-280-100-5;ВКОП 45-280-100;900;904 - 16381;632 - 3044;3000;99;145 600
24590;ВР;ВР 45-280-100-2;ВР 45-280-100;900;913 - 20099;298 - 2476;250;91;184 000
24591;ВО;ВО 40-250-080-5;ВО 40-250-080;800;2758 - 3546;162 - 2044;1500;63;94 900
24592;ВЦ;ВЦ 40-250-080-3;ВЦ 40-250-080;800;1337 - 16629;396 - 578;750;101;84 900
24593;ВЦ;ВЦ 50-315-125-5;ВЦ 50-315-125;1000;701 - 12921;508 - 1341;2200;87;208 000
24594;Ц;Ц 30-160-040-5;Ц 30-160-040;400;3222 - 17396;613 - 690;370;71;58 600
24595;ВКОП;ВКОП 30-160-050-5;ВКОП 30-160-050;500;284 - 18154;164 - 3089;5500;89;75 100
24596;Ц;Ц 35-200-063-4;Ц 35-200-063;630;1862 - 13460;380 - 1645;1100;62;337 800
24597;УВО;УВО 45-280-100-5;УВО 45-280-100;900;1573 - 2425;241 - 2300;550;64;152 400
24598;ВКОП;ВКОП 35-200-063-1;ВКОП 35-200-063;630;2474 - 28793;57 - 2236;7500;79;337 300
24599;ВО;ВО 45-280-100-4;ВО 45-280-100;900;270 - 24138;331 - 2100;550;63;333 500
24600;ВЦ;ВЦ 30-160-050-5;ВЦ 30-160-050;500;1448 - 9175;182 - 919;370;83;250 100
24601;ВО;ВО 56-355-140-3;ВО 56-355-140;1120;3860 - 10884;537 - 2310;4000;69;228 700
24602;ВО;ВО 56-355-140-2;ВО 56-355-140;1120;2276 - 5905;391 - 3580;1100;90;206 000
24603;ВО;ВО 50-315-125-2;ВО 50-315-125;1000;3433 - 25056;404 - 1786;15000;88;230 500
24604;ВР;ВР 30-160-050-5;ВР 30-160-050;500;1138 - 13510;71 - 1905;1500;104;177 300
24605;ВКОП;ВКОП 30-160-050-5;ВКОП 30-160-050;500;3536 - 5025;522 - 3193;1100;76;175 200
24606;ВО;ВО 45-280-100-4;ВО 45-280-100;900;2529 - 7359;42 - 852;15000;68;142 200
24607;ВКОП;ВКОП 56-355-140-2;ВКОП 56-355-140;1120;1162 - 23887;503 - 3242;250;102;165 400
24608;ВО;ВО 50-315-125-2;ВО 50-315-125;1000;2351 - 19285;586 - 3124;11000;90;76 000
24609;Ц;Ц 30-160-050-4;Ц 30-160-050;500;324 - 2721;400 - 1019;250;87;105 100
24610;ВКОП;ВКОП 56-355-140-5;ВКОП 56-355-140;1120;1376 - 5455;64 - 1694;15000;97;304 800
24611;ВЦ;ВЦ 50-315-125-4;ВЦ 50-315-125;1000;1581 - 8245;182 - 1224;4000;85;145 500
24612;Ц;Ц 50-315-125-4;Ц 50-315-125;1000;2127 - 9362;452 - 3496;1100;69;105 900
24613;ВЦ;ВЦ 45-280-100-3;ВЦ 45-280-100;900;3118 - 25273;522 - 1229;550;92;55 100
24614;Ц;Ц 35-200-063-2;Ц 35-200-063;630;1822 - 22049;131 - 1979;11000;78;143 100
24615;Ц;Ц 30-160-050-5;Ц 30-160-050;500;3920 - 6157;588 - 2423;5500;65;88 300
24616;УВО;УВО 30-160-040-5;УВО 30-160-040;400;3801 - 21959;146 - 2139;1100;80;217 500
24617;Ц;Ц 30-160-050-4;Ц 30-160-050;500;3362 - 14349;243 - 2323;250;61;176 700
24618;ВКОП;ВКОП 30-160-040-2;ВКОП 30-160-040;400;3209 - 10278;264 - 1897;15000;70;339 300
24619;ВЦ;ВЦ 35-200-063-1;ВЦ 35-200-063;630;481 - 13829;168 - 2228;3000;101;70 900
24620;ВО;ВО 45-280-100-5;ВО 45-280-100;900;1153 - 23863;112 - 2907;750;104;269 000
24621;Ц;Ц 35-200-063-5;Ц 35-200-063;630;284 - 27172;289 - 2107;11000;80;281 100
24622;ВКОП;ВКОП 40-250-080-5;ВКОП 40-250-080;800;2327 - 22397;541 - 1195;5500;101;161 100
24623;ВКОП;ВКОП 45-280-100-1;ВКОП 45-280-100;900;508 - 2285;125 - 2395;1500;82;187 300
24624;ВКОП;ВКОП 35-200-063-4;ВКОП 35-200-063;630;3286 - 12286;333 - 2496;3000;61;160 600
24625;УВО;УВО 30-160-040-4;УВО 30-160-040;400;599 - 16947;314 - 2344;1100;98;56 600
24626;ВЦ;ВЦ 45-280-100-2;ВЦ 45-280-100;900;1198 - 6369;578 - 2143;750;75;298 400
24627;ВО;ВО 40-250-080-2;ВО 40-250-080;800;1014 - 2323;378 - 3539;3000;85;124 100
24628;Ц;Ц 30-160-040-4;Ц 30-160-040;400;882 - 14026;456 - 2977;750;67;324 500
24629;Ц;Ц 35-200-063-5;Ц 35-200-063;630;3369 - 14996;217 - 3147;7500;66;318 100
24630;ВЦ;ВЦ 30-160-050-3;ВЦ 30-160-050;500;1108 - 21318;406 - 2053;750;97;183 300
24631;Ц;Ц 45-280-100-4;Ц 45-280-100;900;1354 - 7944;176 - 1267;750;106;198 100
24632;УВО;УВО 30-160-040-5;УВО 30-160-040;400;3610 - 10693;300 - 933;2200;108;126 900
24633;ВЦ;ВЦ 30-160-050-3;ВЦ 30-160-050;500;1243 - 11557;614 - 1525;250;76;103 400
24634;ВКОП;ВКОП 56-355-140-3;ВКОП 56-355-140;1120;1462 - 13014;582 - 3134;2200;60;81 700
24635;УВО;УВО 30-160-050-4;УВО 30-160-050;500;2208 - 28422;213 - 2520;2200;91;211 100
24636;Ц;Ц 56-355-140-4;Ц 56-355-140;1120;1855 - 26587;590 - 736;15000;91;147 000
24637;ВР;ВР 35-200-063-4;ВР 35-200-063;630;3607 - 8182;63 - 2014;370;89;313 800
24638;ВКОП;ВКОП 40-250-080-3;ВКОП 40-250-080;800;1525 - 3252;216 - 2016;1100;90;115 300
24639;ВО;ВО 30-160-050-1;ВО 30-160-050;500;1270 - 15274;340 - 1021;250;69;51 600
24640;ВЦ;ВЦ 40-250-080-3;ВЦ 40-250-080;800;2196 - 21492;480 - 2146;15000;89;228 000
24641;УВО;УВО 30-160-040-2;УВО 30-160-040;400;1426 - 9399;343 - 3232;1100;89;276 600
24642;Ц;Ц 40-250-080-2;Ц 40-250-080;800;1149 - 14649;622 - 2248;2200;103;174 900
24643;ВЦ;ВЦ 45-280-100-4;ВЦ 45-280-100;900;690 - 7146;45 - 1163;1500;99;303 700
24644;ВЦ;ВЦ 56-355-140-4;ВЦ 56-355-140;1120;2173 - 26314;298 - 581;1100;99;227 700
24645;ВКОП;ВКОП 40-250-080-5;ВКОП 40-250-080;800;882 - 12816;127 - 3246;5500;102;110 100
24646;ВКОП;ВКОП 35-200-063-3;ВКОП 35-200-063;630;1956 - 13707;221 - 2795;550;89;336 000
24647;ВКОП;ВКОП 50-315-125-2;ВКОП 50-315-125;1000;1859 - 7070;304 - 3144;4000;60;184 500
24648;ВЦ;ВЦ 40-250-080-4;ВЦ 40-250-080;800;3965 - 24407;264 - 1129;4000;75;223 000
24649;Ц;Ц 30-160-040-2;Ц 30-160-040;400;2761 - 18458;613 - 2245;7500;70;247 000
24650;ВО;ВО 56-355-140-1;ВО 56-355-140;1120;1282 - 4723;273 - 1621;11000;62;146 100
24651;Ц;Ц 56-355-140-5;Ц 56-355-140;1120;2046 - 19712;360 - 743;1100;64;137 600
24652;ВКОП;ВКОП 56-355-140-1;ВКОП 56-355-140;1120;503 - 26094;635 - 784;2200;91;300 000
24653;ВО;ВО 56-355-140-4;ВО 56-355-140;1120;2430 - 13392;219 - 3040;750;89;207 500
24654;ВЦ;ВЦ 40-250-080-1;ВЦ 40-250-080;800;673 - 12125;390 - 2616;11000;78;295 400
24655;ВО;ВО 45-280-100-3;ВО 45-280-100;900;239 - 844;571 - 1076;370;63;231 800
24656;ВО;ВО 30-160-040-2;ВО 30-160-040;400;1283 - 2466;530 - 2313;11000;86;297 600
24657;УВО;УВО 40-250-080-1;УВО 40-250-080;800;2714 - 20637;438 - 3602;2200;78;230 200
24658;ВО;ВО 30-160-050-5;ВО 30-160-050;500;1016 - 16451;272 - 1157;370;62;275 100
24659;Ц;Ц 56-355-140-3;Ц 56-355-140;1120;1993 - 15597;65 - 905;370;62;291 200
24660;ВЦ;ВЦ 40-250-080-2;ВЦ 40-250-080;800;2842 - 15383;292 - 1307;5500;86;183 200
24661;ВКОП;ВКОП 35-200-063-3;ВКОП 35-200-063;630;570 - 6468;532 - 3704;1500;90;325 900
24662;УВО;УВО 30-160-040-2;УВО 30-160-040;400;2074 - 27267;183 - 466;5500;98;148 400
24663;ВР;ВР 30-160-050-3;ВР 30-160-050;500;494 - 6056;40 - 2621;4000;89;232 800
24664;ВР;ВР 35-200-063-4;ВР 35-200-063;630;2242 - 26275;97 - 189;1100;90;230 400
24665;Ц;Ц 45-280-100-4;Ц 45-280-100;900;377 - 27746;141 - 734;15000;107;317 000
24666;ВКОП;ВКОП 45-280-100-4;ВКОП 45-280-100;900;333 - 7111;320 - 778;370;85;147 800
24667;УВО;УВО 40-250-080-1;УВО 40-250-080;800;344 - 3827;49 - 2269;750;63;99 100
24668;ВР;ВР 30-160-050-3;ВР 30-160-050;500;3282 - 25880;181 - 2069;4000;61;68 700
24669;Ц;Ц 35-200-063-4;Ц 35-200-063;630;3858 - 5585;561 - 2793;2200;72;337 400
24670;Ц;Ц 56-355-140-3;Ц 56-355-140;1120;550 - 20747;433 - 1057;4000;79;100 500
24671;УВО;УВО 35-200-063-3;УВО 35-200-063;630;1996 - 11722;438 - 3029;250;106;233 500
24672;ВЦ;ВЦ 45-280-100-2;ВЦ 45-280-100;900;1218 - 7223;104 - 2375;750;96;214 100
24673;ВЦ;ВЦ 40-250-080-5;ВЦ 40-250-080;800;3838 - 15618;241 - 2457;5500;74;144 400
24674;ВР;ВР 40-250-080-2;ВР 40-250-080;800;3064 - 12324;155 - 2696;1500;65;289 200
24675;УВО;УВО 40-250-080-2;УВО 40-250-080;800;606 - 18928;636 - 1421;3000;93;244 200
24676;УВО;УВО 56-355-140-5;УВО 56-355-140;1120;2843 - 15333;462 - 2611;3000;106;246 500
24677;Ц;Ц 40-250-080-2;Ц 40-250-080;800;2105 - 25154;650 - 3683;5500;83;245 800
24678;УВО;УВО 45-280-100-1;УВО 45-280-100;900;3192 - 20659;370 - 3446;11000;98;258 900
24679;ВЦ;ВЦ 35-200-063-2;ВЦ 35-200-063;630;685 - 13665;263 - 3131;7500;100;204 400
24680;УВО;УВО 40-250-080-5;УВО 40-250-080;800;3549 - 16455;315 - 2500;250;67;71 900
24681;ВР;ВР 30-160-040-1;ВР 30-160-040;400;2271 - 12094;182 - 2941;11000;84;204 500
24682;ВКОП;ВКОП 50-315-125-1;ВКОП 50-315-125;1000;842 - 6139;91 - 1638;4000;75;213 800
24683;УВО;УВО 56-355-140-3;УВО 56-355-140;1120;2804 - 18918;606 - 2799;250;104;324 300
24684;ВО;ВО 35-200-063-2;ВО 35-200-063;630;1741 - 7911;498 - 1548;7500;94;139 400
24685;ВЦ;ВЦ 40-250-080-1;ВЦ 40-250-080;800;1987 - 25756;506 - 703;2200;69;236 900
24686;ВКОП;ВКОП 45-280-100-1;ВКОП 45-280-100;900;3783 - 26242;522 - 3560;7500;99;132 900
24687;ВЦ;ВЦ 30-160-040-1;ВЦ 30-160-040;400;2732 - 26403;591 - 3543;250;98;215 800
24688;ВЦ;ВЦ 50-315-125-1;ВЦ 50-315-125;1000;3424 - 16253;626 - 3172;750;106;139 700
24689;ВО;ВО 30-160-050-2;ВО 30-160-050;500;1966 - 18531;285 - 1972;11000;81;178 900
24690;Ц;Ц 30-160-040-1;Ц 30-160-040;400;3276 - 22217;528 - 1454;370;64;92 000
24691;ВО;ВО 30-160-040-2;ВО 30-160-040;400;3768 - 19478;213 - 991;370;85;171 900
24692;ВКОП;ВКОП 40-250-080-3;ВКОП 40-250-080;800;2939 - 25619;137 - 2719;5500;74;332 100
24693;УВО;УВО 30-160-050-4;УВО 30-160-050;500;1193 - 9030;325 - 439;5500;105;220 800
24694;УВО;УВО 40-250-080-2;УВО 40-250-080;800;1511 - 11534;487 - 2935;550;75;118 000
24695;ВЦ;ВЦ 56-355-140-4;ВЦ 56-355-140;1120;769 - 9715;195 - 2626;11000;97;267 600
24696;ВЦ;ВЦ 56-355-140-2;ВЦ 56-355-140;1120;2620 - 3682;499 - 1684;550;102;246 900
24697;ВЦ;ВЦ 30-160-050-2;ВЦ 30-160-050;500;2255 - 23330;126 - 890;550;93;59 100
24698;ВКОП;ВКОП 30-160-050-2;ВКОП 30-160-050;500;2831 - 18811;96 - 2736;15000;108;260 000
24699;ВКОП;ВКОП 45-280-100-2;ВКОП 45-280-100;900;492 - 10357;107 - 2034;7500;75;175 500
24700;ВЦ;ВЦ 30-160-040-2;ВЦ 30-160-040;400;1159 - 20950;262 - 1138;4000;65;332 300
